question,api_route
What did I spend the most money on in Meezan during June?,/api/agent/analytics/top-categories
Compare my spending in September vs October by category in UBL.,/api/agent/trends/mom
What did I spend on travel in SCB during May?,/api/agent/summary/expense-income
What are my balances in JazzCash and Alfalah for May?,/api/agent/overview
What is my cashflow for Meezan in July?,/api/agent/trends/cashflow
Show my balance trend for HBL since April.,/api/agent/trends/monthly-balance
How much budget do I have left for fuel in my JazzCash account for February?,/api/agent/analytics/budget
How much budget do I have left for groceries in my SCB account for November?,/api/agent/analytics/budget
Compare my spending in June vs September by category in UBL.,/api/agent/trends/mom
Compare my spending in April vs December by category in SCB.,/api/agent/trends/mom
How much budget do I have left for rent in my SCB account for December?,/api/agent/analytics/budget
Get statement report for October for SCB.,/api/agent/analytics/statements
What did I spend on entertainment in NBP during October?,/api/agent/summary/expense-income
What is my cashflow for HBL in March?,/api/agent/trends/cashflow
How much budget do I have left for rent in my Easypaisa account for July?,/api/agent/analytics/budget
What is my cashflow for Meezan in January?,/api/agent/trends/cashflow
What is my cashflow for Meezan in May?,/api/agent/trends/cashflow
Are there any unusual transaction spikes on my UBL account in February?,/api/agent/analytics/anomalies
How much budget do I have left for shopping in my Easypaisa account for April?,/api/agent/analytics/budget
What are my balances in HBL and NBP for August?,/api/agent/overview
What are my balances in Easypaisa and NBP for December?,/api/agent/overview
Compare my spending in May vs December by category in SCB.,/api/agent/trends/mom
What is my cashflow for Easypaisa in June?,/api/agent/trends/cashflow
How much budget do I have left for dining out in my SCB account for August?,/api/agent/analytics/budget
Are there any unusual transaction spikes on my Alfalah account in September?,/api/agent/analytics/anomalies
How much budget do I have left for shopping in my Alfalah account for January?,/api/agent/analytics/budget
How much budget do I have left for food in my NBP account for January?,/api/agent/analytics/budget
Compare my spending in June vs October by category in JazzCash.,/api/agent/trends/mom
What did I spend the most money on in Easypaisa during October?,/api/agent/analytics/top-categories
What did I spend the most money on in NBP during February?,/api/agent/analytics/top-categories
Compare my spending in January vs September by category in Alfalah.,/api/agent/trends/mom
What are my balances in JazzCash and Easypaisa for December?,/api/agent/overview
What is my cashflow for UBL in October?,/api/agent/trends/cashflow
Show my balance trend for Meezan since November.,/api/agent/trends/monthly-balance
Show my budget utilization for groceries in April.,/api/agent/analytics/budget
Find transactions matching Careem from last night.,/api/agent/transactions/search
What did I spend on entertainment in JazzCash during October?,/api/agent/summary/expense-income
Compare my spending in October vs March by category in Easypaisa.,/api/agent/trends/mom
Show my balance trend for NBP since August.,/api/agent/trends/monthly-balance
List recurring items under entertainment for my UBL card.,/api/agent/analytics/recurring
Compare my spending in November vs February by category in HBL.,/api/agent/trends/mom
How much budget do I have left for food in my Alfalah account for October?,/api/agent/analytics/budget
What is my cashflow for NBP in February?,/api/agent/trends/cashflow
Calculate my current net worth in UBL as of March.,/api/agent/analytics/net-worth
Compare my spending in March vs November by category in JazzCash.,/api/agent/trends/mom
Compare my spending in July vs March by category in UBL.,/api/agent/trends/mom
Show my budget utilization for fuel in April.,/api/agent/analytics/budget
Compare my spending in September vs February by category in NBP.,/api/agent/trends/mom
Show my balance trend for Easypaisa since February.,/api/agent/trends/monthly-balance
What is my cashflow for NBP in March?,/api/agent/trends/cashflow
How much budget do I have left for fuel in my SCB account for July?,/api/agent/analytics/budget
What did I spend on dining out in HBL during November?,/api/agent/summary/expense-income
What did I spend on food in JazzCash during January?,/api/agent/summary/expense-income
What did I spend the most money on in UBL during April?,/api/agent/analytics/top-categories
List recurring items under shopping for my HBL card.,/api/agent/analytics/recurring
Calculate my current net worth in HBL as of May.,/api/agent/analytics/net-worth
What did I spend on shopping in NBP during December?,/api/agent/summary/expense-income
How much budget do I have left for travel in my Easypaisa account for November?,/api/agent/analytics/budget
What are my balances in Alfalah and HBL for September?,/api/agent/overview
Show investment profit for September in my Easypaisa portfolio.,/api/agent/analytics/investments
How much budget do I have left for dining out in my Meezan account for January?,/api/agent/analytics/budget
Are there any unusual transaction spikes on my Meezan account in October?,/api/agent/analytics/anomalies
Show investment profit for December in my Alfalah portfolio.,/api/agent/analytics/investments
How close am I to my saving goal of 500 PKR in Meezan?,/api/agent/analytics/savings
Compare my spending in October vs August by category in JazzCash.,/api/agent/trends/mom
Show my budget utilization for dining out in November.,/api/agent/analytics/budget
What are my balances in UBL and Easypaisa for December?,/api/agent/overview
Are there any unusual transaction spikes on my SCB account in November?,/api/agent/analytics/anomalies
What did I spend on fuel in Meezan during October?,/api/agent/summary/expense-income
Are there any unusual transaction spikes on my Easypaisa account in February?,/api/agent/analytics/anomalies
Calculate my current net worth in Meezan as of December.,/api/agent/analytics/net-worth
What did I spend on dining out in SCB during May?,/api/agent/summary/expense-income
What did I spend the most money on in UBL during July?,/api/agent/analytics/top-categories
Show my budget utilization for utilities in February.,/api/agent/analytics/budget
What is my cashflow for SCB in March?,/api/agent/trends/cashflow
How much budget do I have left for entertainment in my HBL account for May?,/api/agent/analytics/budget
Get statement report for February for JazzCash.,/api/agent/analytics/statements
What is my cashflow for Easypaisa in March?,/api/agent/trends/cashflow
How much budget do I have left for rent in my Meezan account for December?,/api/agent/analytics/budget
Show my balance trend for HBL since March.,/api/agent/trends/monthly-balance
Get statement report for July for HBL.,/api/agent/analytics/statements
What are my balances in JazzCash and NBP for March?,/api/agent/overview
Compare my spending in January vs February by category in NBP.,/api/agent/trends/mom
What did I spend on rent in Easypaisa during February?,/api/agent/summary/expense-income
What did I spend on groceries in HBL during March?,/api/agent/summary/expense-income
